"Source:","/Users/Dertien/Desktop/controlbox/controlbox/controlbox.kicad_sch"
"Date:","2024 May 18, Saturday 15:15:43"
"Tool:","Eeschema 7.0.8"
"Generator:","/Applications/KiCad/KiCad.app/Contents/SharedSupport/plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Sim.Device","Sim.Pins"
"1","8","C1, C2, C5, C7, C9, C13, C14, C15","100n","Device:C","fab:C_1206","~","","",""
"2","1","C3","10uF","Device:C_Polarized_Small","fab:CP_Elec_D6.3mm_H6.1mm","~","","",""
"3","1","C4","100uF","Device:C_Polarized_Small","fab:CP_Elec_D6.3mm_H6.1mm","~","","",""
"4","3","C6, C8, C10","47uF","Device:C_Polarized_Small","fab:CP_Elec_D6.3mm_H6.1mm","~","","",""
"5","1","D1","D","Device:D","Diode_SMD:D_2512_6332Metric_Pad1.52x3.35mm_HandSolder","~","","D","1=K 2=A"
"6","2","F1, F2","Polyfuse","Device:Polyfuse","Fuse:Fuse_2920_7451Metric","~","","",""
"7","4","H1, H2, H3, H4","MountingHole","Mechanical:MountingHole","fab:MountingHole_3mm","~","","",""
"8","2","J1, J14","lineOut1","Connector_Generic:Conn_01x03","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","",""
"9","1","J2","Audio1","Connector_Audio:AudioJack3_SwitchT","Connector_Audio:Jack_3.5mm_CUI_SJ1-3525N_Horizontal","~","","",""
"10","2","J3, J16","R1","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"11","2","J4, J17","L1","Connector_Generic:Conn_01x02","Connector_JST:JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical","~","","",""
"12","1","J5","APC220","Connector_Generic:Conn_01x07","Arduino:APC220","~","","",""
"13","1","J6","NRF24L01","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~","","",""
"14","1","J7","relay1","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","","",""
"15","1","J8","relay2","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","","",""
"16","1","J9","general","Connector_Generic:Conn_02x05_Odd_Even","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","~","","",""
"17","1","J10","OLED","Connector_Generic:Conn_01x04","Arduino:OLED128x32","~","","",""
"18","1","J11","CSRF","Connector_Generic:Conn_01x04","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","~","","",""
"19","1","J20","DMX","Connector_Generic:Conn_01x03","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","~","","",""
"20","1","J21","RJ45_LED_Shielded","Connector:RJ45_LED_Shielded","Connector_RJ:RJ45_Amphenol_RJHSE538X","~","","",""
"21","1","J23","PowerIn","Connector:Barrel_Jack_Switch","Connector_BarrelJack:BarrelJack_Horizontal","~","","",""
"22","1","J24","grove","Connector_Generic:Conn_01x04","Connectors:Grove_1x04","~","","",""
"23","1","J25","PowerIn","Connector:Screw_Terminal_01x02","fab:TerminalBlock_OnShore_1x02_P5.00mm_Horizontal","~","","",""
"24","3","JP1, JP2, JP3","power","Jumper:Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~","","",""
"25","1","JP4","BusPower","Jumper:Jumper_2_Open","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","",""
"26","1","M1","Pico","fab:Module_RaspberryPi_PicoW_Combined","fab:RaspberryPi_PicoW_Combined","https://datasheets.raspberrypi.com/picow/pico-w-datasheet.pdf","","",""
"27","1","R1","120R","Device:R","fab:R_1206","~","","",""
"28","7","R2, R3, R4, R5, R6, R7, R8","10k","Device:R","fab:R_1206","~","","",""
"29","2","R9, R10","4k7","Device:R","fab:R_1206","~","","",""
"30","2","R11, R12","220R","Device:R","fab:R_1206","~","","",""
"31","4","R13, R14, R15, R16","R","Device:R","fab:R_1206","~","","",""
"32","1","SW1","RotaryEncoder_Switch","Device:RotaryEncoder_Switch","Rotary_Encoder:RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm","~","","",""
"33","1","U1","PCA9685PW","Driver_LED:PCA9685PW","Package_SO:TSSOP-28_4.4x9.7mm_P0.65mm","http://www.nxp.com/docs/en/data-sheet/PCA9685.pdf","","",""
"34","1","U2","MAX485E","Interface_UART:MAX485E","Package_SO:SO-8_3.9x4.9mm_P1.27mm","https://datasheets.maximintegrated.com/en/ds/MAX1487E-MAX491E.pdf","","",""
"35","1","U3","LM7805_TO220","Regulator_Linear:LM7805_TO220","Package_TO_SOT_THT:TO-220-3_Vertical","https://www.onsemi.cn/PowerSolutions/document/MC7800-D.PDF","","",""
"36","2","U4, U5","fermion-mp3","board-rescue:fermion-mp3-arduino","Arduino:fermion-mp3","","","",""
